tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt6196936,movie,The Kill Team,The Kill Team,0,2019,,87,"Action,Biography,Drama",6.0,8935
tt6197028,movie,The Coming War on China,The Coming War on China,0,2016,,113,"Documentary,History",7.0,1795
tt6197070,movie,Blood Machines,Blood Machines,0,2019,,50,"Adventure,Music,Sci-Fi",6.1,4393
tt6197094,movie,Beata ignoranza,Beata ignoranza,0,2017,,102,Comedy,5.5,1350
tt6197484,movie,Holy Goalie,Que baje Dios y lo vea,0,2017,,95,"Comedy,Sport",5.4,2054
tt6197494,movie,Malicious,Malicious,0,2018,,90,"Horror,Thriller",5.1,4730
tt6198246,movie,The Great War,The Great War,0,2019,,108,"Drama,War",4.1,1443
tt6198946,movie,The Hole in the Ground,The Hole in the Ground,0,2019,,90,"Drama,Horror,Mystery",5.7,24929
tt6199572,movie,Capone,Capone,0,2020,,103,"Biography,Crime,Drama",4.7,25362
tt6200656,movie,Kammara Sambhavam,Kammara Sambhavam,0,2018,,182,"Action,Comedy,Drama",7.2,1597
tt6201292,movie,Bairavaa,Bairavaa,0,2017,,169,Action,5.8,13847
tt6203302,movie,The Villain,The Villain,0,2018,,176,"Action,Thriller",4.9,2253
tt6203570,movie,Mountain,Mountain,0,2017,,74,Documentary,7.2,4413
tt6203612,movie,Santhu Straight Forward,Santhu Straight Forward,0,2016,,159,"Action,Drama,Romance",6.5,1138
tt6204018,movie,Ted - Show Me Love,Ted - För kärlekens skull,0,2018,,120,"Biography,Drama,Music",7.0,4592
tt6204340,movie,Bullet Head,Bullet Head,0,2017,,93,"Crime,Drama,Thriller",5.4,12016
tt6205872,movie,Assassination Nation,Assassination Nation,0,2018,,108,"Comedy,Horror,Thriller",6.0,23509
tt6206564,movie,Trapped,Trapped,0,2016,,105,"Drama,Thriller",7.5,15102
tt6207878,movie,"No Date, No Signature","Bedoone Tarikh, Bedoone Emza",0,2017,,99,"Drama,Mystery,Thriller",7.2,7552
tt6207956,movie,Blockage,Sade ma'bar,0,2017,,82,Drama,6.2,1227
tt6208032,movie,Lovely Trash,Ashghal haye Doost Dashtani,0,2013,,86,"Drama,Fantasy",6.7,1547
tt6208104,movie,My Brother Khosrow,Baradaram Khosro,0,2016,,90,Drama,6.8,3048
tt6209282,movie,Ex Libris,Ex Libris,0,2017,,197,Documentary,7.4,1583
tt6209470,movie,Subdued,Rag-e Khab,0,2017,,103,"Drama,Romance",6.1,2687
tt6210808,movie,I Still Hide to Smoke,À mon âge je me cache encore pour fumer,0,2016,,90,Drama,7.0,1321
tt6210996,movie,10x10,10x10,0,2018,,88,"Drama,Mystery,Thriller",5.2,13840
tt6211538,movie,The Patrol 2,Gasht-e ershad 2,0,2017,,99,"Comedy,Drama",4.6,3230
tt6211580,movie,"The Good, the Bad, the Corny",Khoob Bad Jelf,0,2017,,105,"Action,Comedy,Thriller",5.1,2909
tt6211976,movie,A Vigilante,A Vigilante,0,2018,,91,"Crime,Drama,Mystery",5.7,11453
tt6212346,movie,Pitbull: Tough Women,Pitbull. Niebezpieczne kobiety,0,2016,,135,"Action,Crime,Drama",5.6,2731
tt6212478,movie,American Animals,American Animals,0,2018,,116,"Biography,Crime,Drama",7.0,53345
tt6212496,movie,Mr. Roosevelt,Mr. Roosevelt,0,2017,,90,Comedy,6.2,4024
tt6212934,movie,Eagles of Death Metal: Nos Amis (Our Friends),Eagles of Death Metal: Nos Amis (Our Friends),0,2017,,84,"Documentary,Music",7.9,1058
tt6212984,movie,Parava,Parava,0,2017,,147,"Action,Comedy,Drama",8.0,5178
tt6213036,movie,Öteki Taraf,Öteki Taraf,0,2017,,99,"Drama,Thriller",6.0,2709
tt6213284,movie,I Am Not a Witch,I Am Not a Witch,0,2017,,93,"Comedy,Drama",6.9,4958
tt6213362,movie,The Guardians,Les gardiennes,0,2017,,138,"Drama,War",6.7,2769
tt6214084,movie,Something Useful,Ise Yarar Bir Sey,0,2017,,104,Drama,7.6,6199
tt6214468,movie,The Russian Bride,The Russian Bride,0,2018,,101,"Horror,Thriller",5.2,4154
